,STATE/UT,YEAR,RESIDENTIAL PREMISES - Dacoity,RESIDENTIAL PREMISES - Robbery,RESIDENTIAL PREMISES - Burglary,RESIDENTIAL PREMISES - Theft,HIGHWAYS - Dacoity,HIGHWAYS - Robbery,HIGHWAYS - Burglary,HIGHWAYS - Theft,RIVER and SEA - Dacoity,RIVER and SEA - Robbery,RIVER and SEA - Burglary,RIVER and SEA - Theft,RAILWAYS - Dacoity,RAILWAYS - Robbery,RAILWAYS - Burglary,RAILWAYS - Theft,BANKS - Dacoity,BANKS - Robbery,BANKS - Burglary,BANKS - Theft,COMMERCIAL ESTABLISHMENTS - Dacoity,COMMERCIAL ESTABLISHMENTS - Robbery,COMMERCIAL ESTABLISHMENTS - Burglary,COMMERCIAL ESTABLISHMENTS - Theft,OTHER PLACES - Dacoity,OTHER PLACES - Robbery,OTHER PLACES - Burglary,OTHER PLACES - Theft,TOTAL - Dacoity,TOTAL - Robbery,TOTAL - Burglary,TOTAL - Theft
18,NAGALAND,2001.0,2.0,12.0,66.0,115.0,3.0,41.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,65.0,46.0,6.0,63.0,32.0,82.0,11.0,129.0,163.0,258
19,ODISHA,2001.0,90.0,255.0,2341.0,2191.0,26.0,268.0,0.0,95.0,0.0,0.0,0.0,0.0,5.0,14.0,2.0,393.0,6.0,4.0,5.0,0.0,22.0,90.0,383.0,616.0,50.0,327.0,362.0,2327.0,199.0,958.0,3093.0,5622
20,PUNJAB,2001.0,17.0,39.0,1233.0,994.0,3.0,6.0,0.0,44.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,41.0,0.0,3.0,15.0,4.0,6.0,5.0,299.0,342.0,19.0,75.0,355.0,1595.0,45.0,131.0,1902.0,3023
21,RAJASTHAN,2001.0,9.0,26.0,4377.0,2413.0,15.0,60.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,564.0,0.0,0.0,31.0,1.0,6.0,18.0,1875.0,1253.0,30.0,780.0,1001.0,12596.0,60.0,889.0,7284.0,16939
22,SIKKIM,2001.0,0.0,0.0,50.0,27.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,1.0,17.0,22.0,0.0,3.0,76.0,74
23,TAMIL NADU,2001.0,61.0,142.0,3680.0,3390.0,24.0,52.0,0.0,263.0,0.0,0.0,0.0,7.0,2.0,11.0,18.0,256.0,1.0,3.0,29.0,44.0,22.0,66.0,589.0,2255.0,48.0,398.0,1649.0,10494.0,158.0,672.0,5965.0,16709
24,TRIPURA,2001.0,23.0,35.0,161.0,186.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,8.0,42.0,0.0,0.0,29.0,31.0,26.0,63.0,198.0,259
25,UTTAR PRADESH,2001.0,402.0,504.0,6693.0,6383.0,208.0,2015.0,0.0,6121.0,1.0,0.0,0.0,0.0,21.0,49.0,4.0,3141.0,0.0,13.0,2.0,1.0,36.0,34.0,149.0,808.0,237.0,1210.0,1563.0,10557.0,905.0,3825.0,8411.0,27011
26,UTTARAKHAND,2001.0,18.0,38.0,376.0,598.0,4.0,68.0,7.0,72.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,52.0,1.0,0.0,1.0,0.0,2.0,4.0,45.0,169.0,7.0,79.0,92.0,528.0,32.0,191.0,533.0,1419
27,WEST BENGAL,2001.0,75.0,106.0,300.0,5369.0,40.0,129.0,0.0,159.0,0.0,0.0,0.0,3.0,10.0,22.0,0.0,1038.0,4.0,6.0,0.0,0.0,17.0,57.0,44.0,1875.0,128.0,340.0,82.0,5801.0,274.0,660.0,426.0,14245
