,STATE/UT,YEAR,RESIDENTIAL PREMISES - Dacoity,RESIDENTIAL PREMISES - Robbery,RESIDENTIAL PREMISES - Burglary,RESIDENTIAL PREMISES - Theft,HIGHWAYS - Dacoity,HIGHWAYS - Robbery,HIGHWAYS - Burglary,HIGHWAYS - Theft,RIVER and SEA - Dacoity,RIVER and SEA - Robbery,RIVER and SEA - Burglary,RIVER and SEA - Theft,RAILWAYS - Dacoity,RAILWAYS - Robbery,RAILWAYS - Burglary,RAILWAYS - Theft,BANKS - Dacoity,BANKS - Robbery,BANKS - Burglary,BANKS - Theft,COMMERCIAL ESTABLISHMENTS - Dacoity,COMMERCIAL ESTABLISHMENTS - Robbery,COMMERCIAL ESTABLISHMENTS - Burglary,COMMERCIAL ESTABLISHMENTS - Theft,OTHER PLACES - Dacoity,OTHER PLACES - Robbery,OTHER PLACES - Burglary,OTHER PLACES - Theft,TOTAL - Dacoity,TOTAL - Robbery,TOTAL - Burglary,TOTAL - Theft
78,BIHAR,2003.0,757.0,336.0,2087.0,3663.0,163.0,1055.0,18.0,275.0,1.0,2.0,0.0,1.0,79.0,65.0,6.0,1344.0,10.0,10.0,6.0,6.0,58.0,95.0,285.0,882.0,153.0,900.0,584.0,3953.0,1221.0,2463.0,2986.0,10124
79,CHHATTISGARH,2003.0,56.0,39.0,2814.0,1116.0,6.0,19.0,0.0,47.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,297.0,0.0,1.0,7.0,6.0,3.0,4.0,225.0,175.0,64.0,259.0,575.0,2529.0,140.0,331.0,3621.0,4170
80,GOA,2003.0,2.0,5.0,126.0,74.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,1.0,95.0,35.0,3.0,14.0,34.0,344.0,5.0,21.0,257.0,464
81,GUJARAT,2003.0,90.0,233.0,3774.0,4150.0,62.0,123.0,5.0,148.0,0.0,2.0,2.0,6.0,10.0,89.0,0.0,1178.0,4.0,2.0,33.0,25.0,40.0,137.0,930.0,2356.0,132.0,681.0,1100.0,11441.0,338.0,1267.0,5844.0,19304
82,HARYANA,2003.0,9.0,20.0,1868.0,2163.0,9.0,48.0,91.0,171.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,149.0,1.0,6.0,21.0,2.0,7.0,34.0,553.0,479.0,36.0,171.0,448.0,2627.0,63.0,281.0,2981.0,5591
83,HIMACHAL PRADESH,2003.0,0.0,1.0,328.0,62.0,1.0,3.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,8.0,0.0,0.0,1.0,163.0,28.0,5.0,13.0,208.0,486.0,8.0,19.0,707.0,627
84,JAMMU & KASHMIR,2003.0,12.0,46.0,855.0,498.0,0.0,0.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,4.0,298.0,218.0,9.0,100.0,362.0,1217.0,23.0,154.0,1526.0,1949
85,JHARKHAND,2003.0,334.0,190.0,1269.0,2300.0,245.0,475.0,0.0,298.0,0.0,0.0,0.0,6.0,3.0,1.0,10.0,40.0,10.0,12.0,4.0,58.0,19.0,20.0,68.0,514.0,91.0,166.0,117.0,939.0,702.0,864.0,1468.0,4155
86,KARNATAKA,2003.0,75.0,173.0,4036.0,3465.0,29.0,39.0,0.0,30.0,0.0,0.0,0.0,2.0,7.0,10.0,0.0,557.0,1.0,3.0,33.0,138.0,15.0,72.0,1149.0,1348.0,93.0,564.0,837.0,8640.0,220.0,861.0,6055.0,14180
87,KERALA,2003.0,22.0,186.0,2569.0,1778.0,9.0,32.0,8.0,48.0,0.0,0.0,0.0,5.0,0.0,5.0,2.0,158.0,0.0,0.0,12.0,0.0,28.0,59.0,766.0,273.0,83.0,352.0,1052.0,2629.0,142.0,634.0,4409.0,4891
88,MADHYA PRADESH,2003.0,41.0,105.0,9507.0,8347.0,27.0,234.0,36.0,509.0,0.0,4.0,0.0,21.0,2.0,45.0,17.0,1421.0,0.0,3.0,14.0,8.0,27.0,50.0,1020.0,1274.0,56.0,1137.0,2290.0,8842.0,153.0,1578.0,12884.0,20422
89,MAHARASHTRA,2003.0,155.0,376.0,9234.0,7027.0,59.0,227.0,0.0,483.0,0.0,2.0,0.0,8.0,2.0,50.0,3.0,2743.0,2.0,10.0,96.0,44.0,27.0,197.0,2538.0,5545.0,269.0,1234.0,2021.0,21248.0,514.0,2096.0,13892.0,37098
90,MANIPUR,2003.0,0.0,2.0,36.0,52.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7.0,2.0,4.0,12.0,189.0,3.0,6.0,68.0,252
91,MEGHALAYA,2003.0,23.0,33.0,84.0,158.0,28.0,44.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,13.0,7.0,1.0,27.0,43.0,69.0,197.0,83.0,133.0,160.0,360
92,MIZORAM,2003.0,1.0,2.0,275.0,617.0,4.0,17.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,145.0,351.0,0.0,2.0,66.0,330.0,5.0,21.0,487.0,1303
93,NAGALAND,2003.0,8.0,51.0,42.0,131.0,11.0,12.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,19.0,19.0,0.0,11.0,34.0,57.0,19.0,92.0,95.0,221
94,ODISHA,2003.0,74.0,212.0,1845.0,1958.0,21.0,163.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0,477.0,2.0,4.0,14.0,0.0,15.0,106.0,411.0,346.0,65.0,364.0,691.0,2552.0,178.0,875.0,2961.0,5359
95,PUNJAB,2003.0,5.0,11.0,1085.0,772.0,0.0,7.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.0,1.0,7.0,30.0,2.0,0.0,9.0,442.0,432.0,24.0,72.0,536.0,1935.0,30.0,108.0,2094.0,3198
96,RAJASTHAN,2003.0,9.0,24.0,3385.0,2283.0,6.0,71.0,0.0,106.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,535.0,0.0,0.0,0.0,0.0,1.0,41.0,1529.0,605.0,14.0,511.0,1158.0,12927.0,36.0,655.0,6072.0,16456
97,SIKKIM,2003.0,1.0,0.0,37.0,32.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,15.0,0.0,0.0,3.0,17.0,2.0,3.0,48.0,65
98,TAMIL NADU,2003.0,25.0,165.0,3268.0,5555.0,20.0,49.0,4.0,50.0,0.0,1.0,0.0,2.0,2.0,15.0,0.0,224.0,1.0,3.0,15.0,1.0,5.0,25.0,530.0,2154.0,42.0,256.0,1032.0,10227.0,95.0,514.0,4849.0,18213
99,TRIPURA,2003.0,26.0,45.0,130.0,190.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,10.0,18.0,17.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,69.0,167.0,276
100,UTTAR PRADESH,2003.0,143.0,215.0,2702.0,3892.0,69.0,957.0,56.0,2634.0,0.0,0.0,0.0,0.0,14.0,48.0,0.0,2487.0,4.0,10.0,0.0,0.0,11.0,24.0,244.0,349.0,76.0,734.0,1014.0,6389.0,317.0,1988.0,4016.0,15751
101,UTTARAKHAND,2003.0,16.0,35.0,357.0,581.0,0.0,57.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,3.0,3.0,0.0,3.0,6.0,99.0,201.0,7.0,59.0,95.0,498.0,26.0,160.0,557.0,1368
102,WEST BENGAL,2003.0,70.0,90.0,214.0,5890.0,15.0,44.0,0.0,19.0,0.0,0.0,0.0,2.0,10.0,28.0,0.0,404.0,10.0,3.0,0.0,3.0,15.0,30.0,32.0,1598.0,97.0,403.0,96.0,4697.0,217.0,598.0,342.0,12613
103,TOTAL (STATES),2003.0,2361.0,3036.0,60118.0,66846.0,870.0,3904.0,304.0,5328.0,6.0,12.0,3.0,128.0,156.0,454.0,65.0,13304.0,62.0,101.0,323.0,361.0,303.0,1028.0,13568.0,23506.0,1502.0,8499.0,16074.0,118240.0,5260.0,17034.0,90455.0,227713
104,A & N ISLANDS,2003.0,0.0,0.0,36.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,7.0,10.0,41.0,2.0,7.0,56.0,60
105,CHANDIGARH,2003.0,0.0,2.0,120.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,59.0,65.0,3.0,8.0,23.0,963.0,3.0,12.0,204.0,1238
106,D & N HAVELI,2003.0,2.0,0.0,20.0,19.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,23.0,2.0,1.0,7.0,19.0,4.0,6.0,41.0,61
107,DAMAN & DIU,2003.0,0.0,0.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,8.0,0.0,1.0,10.0,35.0,4.0,1.0,41.0,46
108,DELHI,2003.0,9.0,105.0,1292.0,4998.0,7.0,203.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1095.0,0.0,0.0,0.0,10.0,5.0,33.0,324.0,1407.0,7.0,86.0,282.0,7905.0,28.0,441.0,1898.0,15544
109,LAKSHADWEEP,2003.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,5.0,0.0,0.0,6.0,8
110,PUDUCHERRY,2003.0,0.0,2.0,71.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,45.0,2.0,9.0,18.0,464.0,2.0,11.0,126.0,567
111,TOTAL (UTs),2003.0,11.0,109.0,1559.0,5301.0,7.0,207.0,0.0,129.0,0.0,0.0,0.0,4.0,0.0,14.0,0.0,1095.0,0.0,0.0,2.0,11.0,9.0,36.0,457.0,1552.0,16.0,112.0,354.0,9432.0,43.0,478.0,2372.0,17524
112,TOTAL (ALL-INDIA),2003.0,2372.0,3145.0,61677.0,72147.0,877.0,4111.0,304.0,5457.0,6.0,12.0,3.0,132.0,156.0,468.0,65.0,14399.0,62.0,101.0,325.0,372.0,312.0,1064.0,14025.0,25058.0,1518.0,8611.0,16428.0,127672.0,5303.0,17512.0,92827.0,245237
113,ANDHRA PRADESH,2004.0,120.0,257.0,6249.0,7710.0,51.0,126.0,23.0,333.0,0.0,2.0,0.0,71.0,4.0,21.0,19.0,851.0,0.0,0.0,25.0,93.0,4.0,18.0,1083.0,2656.0,20.0,172.0,1058.0,11864.0,199.0,596.0,8457.0,23578
114,ARUNACHAL PRADESH,2004.0,8.0,12.0,94.0,147.0,3.0,4.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,44.0,56.0,18.0,22.0,76.0,176.0,30.0,45.0,215.0,388
115,ASSAM,2004.0,208.0,131.0,1485.0,2772.0,49.0,123.0,20.0,73.0,2.0,0.0,1.0,10.0,2.0,6.0,4.0,110.0,0.0,0.0,0.0,0.0,38.0,81.0,333.0,633.0,61.0,164.0,701.0,2268.0,360.0,505.0,2544.0,5866
116,BIHAR,2004.0,775.0,282.0,2246.0,4481.0,205.0,1396.0,13.0,440.0,1.0,0.0,0.0,1.0,72.0,79.0,46.0,1447.0,29.0,25.0,0.0,2.0,36.0,120.0,117.0,857.0,201.0,1084.0,753.0,3885.0,1319.0,2986.0,3175.0,11113
117,CHHATTISGARH,2004.0,53.0,59.0,2855.0,1426.0,12.0,33.0,4.0,16.0,2.0,0.0,0.0,1.0,3.0,13.0,0.0,249.0,1.0,1.0,3.0,79.0,3.0,10.0,375.0,429.0,32.0,247.0,483.0,2814.0,106.0,363.0,3720.0,5014
118,GOA,2004.0,1.0,6.0,129.0,57.0,3.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,3.0,72.0,70.0,0.0,5.0,59.0,367.0,5.0,18.0,261.0,503
119,GUJARAT,2004.0,97.0,227.0,3705.0,3825.0,76.0,114.0,1.0,118.0,1.0,0.0,0.0,9.0,5.0,109.0,0.0,517.0,3.0,3.0,15.0,18.0,36.0,83.0,1039.0,2223.0,142.0,600.0,1068.0,11841.0,360.0,1136.0,5828.0,18551
120,HARYANA,2004.0,9.0,35.0,1894.0,2266.0,11.0,41.0,0.0,264.0,1.0,4.0,0.0,0.0,0.0,3.0,2.0,180.0,1.0,4.0,26.0,1.0,5.0,33.0,478.0,696.0,25.0,124.0,386.0,3151.0,52.0,244.0,2786.0,6558
121,HIMACHAL PRADESH,2004.0,0.0,6.0,332.0,47.0,0.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,165.0,84.0,1.0,15.0,255.0,486.0,1.0,25.0,766.0,643
122,JAMMU & KASHMIR,2004.0,10.0,32.0,904.0,412.0,0.0,1.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0,0.0,0.0,2.0,260.0,116.0,15.0,91.0,243.0,1396.0,28.0,129.0,1420.0,1939
123,JHARKHAND,2004.0,285.0,367.0,1290.0,1937.0,208.0,230.0,0.0,214.0,0.0,0.0,0.0,0.0,27.0,33.0,0.0,242.0,8.0,18.0,1.0,0.0,10.0,17.0,59.0,393.0,42.0,115.0,69.0,1588.0,580.0,780.0,1419.0,4374
124,KARNATAKA,2004.0,37.0,178.0,3821.0,3479.0,35.0,40.0,0.0,50.0,1.0,0.0,0.0,3.0,1.0,6.0,5.0,651.0,0.0,6.0,26.0,6.0,8.0,38.0,1123.0,1603.0,95.0,756.0,1118.0,10301.0,177.0,1024.0,6093.0,16093
125,KERALA,2004.0,25.0,161.0,2379.0,1528.0,11.0,43.0,4.0,71.0,0.0,0.0,0.0,1.0,2.0,8.0,3.0,122.0,0.0,16.0,69.0,49.0,17.0,45.0,825.0,263.0,74.0,366.0,1300.0,3206.0,129.0,639.0,4580.0,5240
126,MADHYA PRADESH,2004.0,58.0,171.0,9524.0,8114.0,23.0,200.0,10.0,523.0,0.0,1.0,0.0,56.0,0.0,45.0,4.0,1737.0,0.0,2.0,10.0,9.0,5.0,40.0,1336.0,1751.0,61.0,1067.0,1424.0,10396.0,147.0,1526.0,12308.0,22586
127,MAHARASHTRA,2004.0,172.0,346.0,8869.0,8350.0,88.0,269.0,39.0,771.0,0.0,0.0,0.0,7.0,5.0,47.0,1.0,2946.0,9.0,1.0,78.0,81.0,64.0,143.0,3086.0,3015.0,291.0,1423.0,2586.0,28782.0,629.0,2229.0,14659.0,43952
128,MANIPUR,2004.0,0.0,0.0,16.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,105.0,2.0,2.0,6.0,120.0,2.0,3.0,66.0,244
129,MEGHALAYA,2004.0,30.0,13.0,112.0,116.0,17.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,29.0,221.0,14.0,11.0,1.0,80.0,91.0,81.0,142.0,418
130,MIZORAM,2004.0,5.0,3.0,120.0,310.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.0,199.0,2.0,2.0,100.0,100.0,10.0,6.0,250.0,610
131,NAGALAND,2004.0,3.0,48.0,44.0,95.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,27.0,11.0,79.0,5.0,37.0,15.0,81.0,14.0,117.0,70.0,255
132,ODISHA,2004.0,95.0,145.0,1928.0,2472.0,24.0,210.0,1.0,35.0,0.0,0.0,0.0,0.0,1.0,14.0,1.0,355.0,2.0,0.0,9.0,0.0,28.0,81.0,442.0,625.0,88.0,502.0,611.0,2480.0,238.0,952.0,2992.0,5967
133,PUNJAB,2004.0,5.0,6.0,879.0,638.0,1.0,6.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,2.0,5.0,28.0,0.0,1.0,7.0,450.0,439.0,8.0,61.0,409.0,1459.0,17.0,86.0,1766.0,2587
134,RAJASTHAN,2004.0,3.0,26.0,3405.0,2585.0,21.0,87.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,543.0,0.0,3.0,11.0,1.0,0.0,13.0,1364.0,1632.0,34.0,541.0,1130.0,13994.0,58.0,673.0,5911.0,18842
135,SIKKIM,2004.0,0.0,2.0,38.0,33.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,3.0,12.0,21.0,0.0,5.0,64.0,73
136,TAMIL NADU,2004.0,21.0,157.0,2763.0,4105.0,14.0,35.0,4.0,69.0,0.0,0.0,0.0,5.0,1.0,8.0,4.0,288.0,0.0,4.0,5.0,4.0,3.0,29.0,569.0,2283.0,33.0,231.0,802.0,10776.0,72.0,464.0,4147.0,17530
137,TRIPURA,2004.0,20.0,29.0,132.0,168.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,34.0,77.0,27.0,46.0,166.0,260
138,UTTAR PRADESH,2004.0,164.0,294.0,3878.0,6526.0,78.0,1312.0,17.0,4216.0,0.0,3.0,0.0,0.0,14.0,40.0,1.0,1970.0,2.0,6.0,0.0,0.0,20.0,55.0,327.0,480.0,100.0,896.0,1076.0,9332.0,378.0,2606.0,5299.0,22524
139,UTTARAKHAND,2004.0,16.0,28.0,339.0,469.0,6.0,54.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2.0,1.0,0.0,0.0,1.0,2.0,136.0,143.0,12.0,80.0,91.0,884.0,37.0,165.0,566.0,1597
140,WEST BENGAL,2004.0,84.0,102.0,341.0,7044.0,26.0,55.0,0.0,65.0,0.0,0.0,0.0,0.0,9.0,24.0,0.0,394.0,7.0,2.0,0.0,0.0,32.0,66.0,31.0,865.0,54.0,286.0,175.0,6097.0,212.0,535.0,547.0,14465
141,TOTAL (STATES),2004.0,2304.0,3123.0,59771.0,71131.0,965.0,4408.0,142.0,7499.0,8.0,12.0,1.0,164.0,146.0,460.0,91.0,12689.0,69.0,102.0,329.0,345.0,349.0,961.0,13842.0,21920.0,1437.0,8918.0,16041.0,138022.0,5278.0,17984.0,90217.0,251770
142,A & N ISLANDS,2004.0,0.0,1.0,47.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.0,9.0,0.0,1.0,5.0,68.0,0.0,3.0,69.0,103
143,CHANDIGARH,2004.0,0.0,0.0,122.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,62.0,135.0,0.0,6.0,1.0,939.0,0.0,6.0,186.0,1459
144,D & N HAVELI,2004.0,3.0,1.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,13.0,0.0,0.0,3.0,16.0,3.0,2.0,20.0,53
145,DAMAN & DIU,2004.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,21.0,6.0,0.0,0.0,0.0,20.0,0.0,1.0,35.0,27
146,DELHI,2004.0,16.0,95.0,1301.0,4877.0,0.0,6.0,0.0,318.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1063.0,0.0,0.0,0.0,0.0,9.0,38.0,293.0,2981.0,4.0,318.0,278.0,9755.0,30.0,461.0,1875.0,18994
147,LAKSHADWEEP,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,5
148,PUDUCHERRY,2004.0,0.0,0.0,56.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,68.0,0.0,1.0,9.0,483.0,0.0,1.0,86.0,634
149,TOTAL (UTs),2004.0,19.0,97.0,1546.0,5389.0,0.0,6.0,0.0,318.0,0.0,0.0,1.0,7.0,1.0,4.0,3.0,1063.0,0.0,0.0,4.0,0.0,9.0,41.0,421.0,3212.0,4.0,326.0,298.0,11286.0,33.0,474.0,2273.0,21275
150,TOTAL (ALL-INDIA),2004.0,2323.0,3220.0,61317.0,76520.0,965.0,4414.0,142.0,7817.0,8.0,12.0,2.0,171.0,147.0,464.0,94.0,13752.0,69.0,102.0,333.0,345.0,358.0,1002.0,14263.0,25132.0,1441.0,9244.0,16339.0,149308.0,5311.0,18458.0,92490.0,273045
151,ANDHRA PRADESH,2005.0,109.0,262.0,5502.0,6920.0,59.0,165.0,2.0,150.0,0.0,0.0,0.0,4.0,3.0,9.0,0.0,797.0,2.0,0.0,21.0,9.0,14.0,27.0,1279.0,1872.0,63.0,331.0,1150.0,14026.0,250.0,794.0,7954.0,23778
152,ARUNACHAL PRADESH,2005.0,10.0,18.0,142.0,241.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,72.0,99.0,8.0,41.0,49.0,181.0,23.0,77.0,263.0,531
153,ASSAM,2005.0,213.0,128.0,1145.0,2845.0,43.0,76.0,24.0,214.0,1.0,5.0,0.0,4.0,2.0,16.0,2.0,66.0,3.0,0.0,1.0,2.0,14.0,29.0,501.0,1054.0,58.0,197.0,582.0,2184.0,334.0,451.0,2255.0,6369
154,BIHAR,2005.0,768.0,258.0,2346.0,5369.0,173.0,1032.0,8.0,211.0,0.0,1.0,0.0,1.0,44.0,68.0,13.0,1198.0,16.0,7.0,3.0,3.0,38.0,67.0,139.0,887.0,173.0,941.0,608.0,3143.0,1212.0,2374.0,3117.0,10812
155,CHHATTISGARH,2005.0,78.0,59.0,3098.0,1401.0,3.0,42.0,4.0,144.0,0.0,1.0,0.0,0.0,25.0,20.0,10.0,275.0,3.0,3.0,26.0,7.0,6.0,12.0,263.0,498.0,89.0,264.0,220.0,3275.0,204.0,401.0,3621.0,5600
156,GOA,2005.0,0.0,3.0,125.0,70.0,0.0,7.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,2.0,3.0,1.0,1.0,5.0,88.0,70.0,1.0,11.0,48.0,338.0,2.0,28.0,265.0,495
157,GUJARAT,2005.0,82.0,175.0,3306.0,4137.0,44.0,104.0,5.0,95.0,0.0,1.0,0.0,28.0,2.0,47.0,0.0,917.0,0.0,1.0,14.0,22.0,40.0,71.0,996.0,3021.0,114.0,567.0,1011.0,9744.0,282.0,966.0,5332.0,17964
158,HARYANA,2005.0,13.0,49.0,2416.0,2121.0,11.0,67.0,0.0,210.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,195.0,3.0,9.0,21.0,2.0,9.0,28.0,589.0,1142.0,51.0,232.0,408.0,5024.0,88.0,390.0,3437.0,8694
159,HIMACHAL PRADESH,2005.0,1.0,7.0,308.0,126.0,1.0,4.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4.0,184.0,51.0,4.0,7.0,189.0,493.0,6.0,22.0,696.0,696
160,JAMMU & KASHMIR,2005.0,4.0,40.0,636.0,488.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,8.0,311.0,126.0,9.0,60.0,449.0,1253.0,13.0,116.0,1397.0,1901
161,JHARKHAND,2005.0,254.0,118.0,1374.0,3554.0,188.0,430.0,0.0,96.0,0.0,0.0,0.0,0.0,7.0,7.0,4.0,162.0,17.0,8.0,1.0,4.0,14.0,21.0,126.0,857.0,112.0,148.0,105.0,1522.0,592.0,732.0,1610.0,6195
162,KARNATAKA,2005.0,48.0,160.0,3846.0,3661.0,28.0,31.0,1.0,54.0,0.0,0.0,0.0,5.0,1.0,8.0,5.0,480.0,1.0,1.0,28.0,7.0,12.0,67.0,970.0,1829.0,118.0,935.0,1136.0,10972.0,208.0,1202.0,5986.0,17008
163,KERALA,2005.0,33.0,155.0,2285.0,1664.0,10.0,32.0,0.0,98.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,158.0,1.0,1.0,6.0,1.0,15.0,55.0,773.0,393.0,51.0,375.0,1045.0,3138.0,110.0,621.0,4110.0,5454
164,MADHYA PRADESH,2005.0,45.0,154.0,8020.0,6560.0,19.0,214.0,2.0,249.0,0.0,1.0,0.0,35.0,1.0,34.0,8.0,1673.0,0.0,3.0,12.0,11.0,5.0,65.0,1312.0,2190.0,77.0,1086.0,1838.0,9967.0,147.0,1557.0,11192.0,20685
165,MAHARASHTRA,2005.0,195.0,328.0,9401.0,8032.0,65.0,252.0,45.0,649.0,0.0,2.0,0.0,10.0,11.0,50.0,3.0,2655.0,10.0,9.0,75.0,28.0,75.0,178.0,2925.0,3398.0,285.0,1592.0,3166.0,32079.0,641.0,2411.0,15615.0,46851
166,MANIPUR,2005.0,0.0,1.0,15.0,29.0,4.0,2.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,31.0,96.0,0.0,5.0,15.0,100.0,4.0,8.0,62.0,243
167,MEGHALAYA,2005.0,20.0,15.0,82.0,133.0,32.0,37.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,9.0,3.0,20.0,20.0,19.0,40.0,44.0,313.0,81.0,95.0,148.0,476
168,MIZORAM,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,442.0,777.0,3.0,6.0,442.0,777
169,NAGALAND,2005.0,1.0,13.0,51.0,101.0,8.0,28.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,2.0,25.0,41.0,3.0,35.0,17.0,83.0,12.0,80.0,93.0,294
