,DISTRICT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Criminal Trespass/Burglary,Crime Index
0,24 PARGANAS NORTH,2465,1542,1056,1998,0,1998,3739,2648,1091,268,1649,785,387.0,23336,6209,17127,5995,1388,2404,153,169,1909,718,2226,55,19162,8,188,64593,136204,11.0,0.006591606436325
1,24 PARGANAS SOUTH,2340,205,564,2410,0,2410,2606,2517,89,212,1499,433,556.0,19652,3900,15752,10807,172,1863,45,150,2200,691,1650,21,20650,3,482,67134,136479,134.0,0.0059586896599779
2,A AND N ISLANDS,15,19,1,3,0,3,12,9,3,5,0,9,90.0,112,8,104,17,7,23,1,11,99,1,21,2,18,0,4,337,807,0.0,3.628444547784226e-05
3,ADILABAD,1282,941,164,733,0,733,819,617,202,74,0,251,2519.0,4341,841,3500,1074,347,2186,34,425,18786,200,1982,1380,4590,0,3969,21969,68340,274.0,0.0017872977450661
4,AGAR,19,17,0,24,0,24,18,8,10,1,0,7,0.0,76,46,30,17,2,14,0,12,281,1,41,1,30,0,63,552,1209,33.0,2.936952809164348e-05
5,AGRA,1742,2016,478,571,0,571,2965,2271,694,212,22,1424,3063.0,23740,16678,7062,3714,1848,3750,272,126,5680,930,1517,955,4402,0,5047,22469,87285,342.0,0.0065337666147709
6,AHMEDABAD COMMR.,1300,846,103,622,0,622,2759,2022,737,487,34,5874,9392.0,61104,32250,28854,2585,3105,3428,170,103,17781,103,1000,233,13426,0,2352,111782,239263,674.0,0.0138706613373165
7,AHMEDABAD RURAL,452,242,23,102,0,102,533,492,41,156,5,384,1318.0,3811,1173,2638,757,659,187,51,194,4361,12,286,1,1384,0,3870,22867,41749,94.0,0.0011296093519981
8,AHMEDNAGAR,1322,886,34,758,0,758,595,408,187,521,127,1894,5248.0,16008,5031,10977,5326,541,2274,89,557,9156,101,1521,62,5968,0,7591,18565,79696,552.0,0.004508627874026
9,AHWA-DANG,84,14,0,33,0,33,12,10,2,5,0,9,51.0,114,24,90,54,24,23,9,18,278,1,36,2,91,0,252,1366,2485,9.0,5.610698985973147e-05
10,AIZAWL,150,135,35,382,0,382,40,2,38,8,0,53,2316.0,5527,365,5162,16,153,498,76,133,467,0,399,2,41,0,197,2707,13530,195.0,0.0012844582115297
11,AJMER,587,692,69,616,0,616,1463,1267,196,33,19,393,3507.0,9909,4704,5205,595,301,8508,47,200,4452,189,1189,9,6352,0,5416,41534,86367,287.0,0.0032864367377542
12,AKOLA,623,623,23,345,0,345,343,305,38,130,18,737,3351.0,11493,1662,9831,1665,255,1139,108,452,10528,78,1309,392,1889,0,1632,15989,53320,198.0,0.0027702694968114
13,ALAPUZHA,269,371,53,345,0,345,199,142,57,70,2,435,2405.0,3246,1280,1966,5629,280,2733,29,280,17252,17,2479,252,3007,0,22,65449,104986,162.0,0.0015878744157009
14,ALIGARH,2217,2531,380,735,0,735,2533,2013,520,198,71,1396,1875.0,12362,6322,6040,3209,1337,3251,52,402,4034,712,1294,361,3209,0,3464,15977,61915,315.0,0.0041668924598874
15,ALIRAJPUR,367,239,3,174,0,174,81,75,6,9,1,52,191.0,423,187,236,101,7,24,0,67,1634,3,150,2,47,0,432,3586,7624,31.0,0.000230131863766
16,ALLAHABAD,1775,1574,477,532,0,532,1731,1402,329,88,13,735,2861.0,10803,6114,4689,1964,1195,2831,167,194,5482,791,880,470,2638,0,4261,23587,65405,356.0,0.0034966837014524
17,ALMORA,147,90,19,57,0,57,71,56,15,14,0,100,216.0,440,26,414,97,40,141,11,31,357,72,64,23,92,0,163,702,2956,9.0,0.0001733520888734
18,ALWAR,1134,1060,44,1215,0,1215,1961,1404,557,21,97,569,2563.0,21628,13040,8588,963,369,9244,42,369,30791,524,1767,2,5488,0,5168,30722,116055,314.0,0.0058301089536306
19,AMBALA,350,219,33,237,0,237,310,252,58,38,58,177,2959.0,4373,2270,2103,24,397,1030,17,84,2518,109,235,188,1806,0,30,11279,26471,0.0,0.0013274278429191
20,AMBALA RURAL,30,20,2,28,0,28,95,77,18,5,4,16,118.0,404,191,213,0,10,92,1,7,133,10,44,4,152,0,124,801,2192,92.0,0.000122010386173
21,AMBALA URBAN,32,31,5,45,0,45,234,131,103,7,1,34,362.0,1038,628,410,4,117,178,1,11,200,6,71,32,329,0,123,1342,4597,394.0,0.0003030650432029
22,AMBEDKAR NAGAR,462,430,145,182,0,182,593,541,52,20,2,226,508.0,1433,412,1021,420,292,659,12,56,2027,168,189,111,923,0,678,4048,13607,23.0,0.0006565528632076
23,AMETHI,31,61,12,38,0,38,116,110,6,5,0,35,0.0,142,65,77,50,19,27,1,14,211,16,83,0,35,0,137,572,1666,61.0,7.532566865117902e-05
24,AMRAVATI COMMR.,311,367,22,262,0,262,252,214,38,54,45,577,2850.0,10348,2130,8218,1067,267,705,58,168,5265,38,584,260,947,0,903,10047,35602,205.0,0.002370008348573
25,AMRAVATI RURAL,829,471,37,720,0,720,331,303,28,109,17,410,3294.0,11731,881,10850,1338,191,548,22,783,11736,64,1882,429,1676,0,2234,14122,53196,222.0,0.0027927963088374
26,AMRELI,325,141,19,107,0,107,649,615,34,26,1,194,1305.0,2207,714,1493,549,396,155,121,128,3774,9,288,32,1671,0,1381,16424,29980,78.0,0.0008071615360933
27,AMRITSAR,470,442,50,135,0,135,349,277,72,16,92,113,1090.0,2525,1222,1303,0,211,2049,61,33,1906,53,129,23,641,0,987,4503,15878,0.0,0.0009033599501532
28,AMRITSAR RURAL,224,243,14,102,0,102,213,155,58,6,30,29,275.0,701,138,563,0,45,662,27,30,946,24,105,9,222,0,647,1408,6058,96.0,0.0003052606197246
29,AMROHA,65,80,9,23,0,23,113,92,21,3,2,38,0.0,279,112,167,34,35,117,2,0,117,16,57,0,171,0,190,995,2401,55.0,0.0001066019679822
30,ANAND,368,167,23,129,0,129,577,519,58,105,4,177,1611.0,5097,2186,2911,582,841,383,75,214,4927,2,320,33,2184,0,2812,23460,44189,98.0,0.0013886250258808
31,ANANTAPUR,2078,1397,54,294,0,294,949,638,311,142,1,267,2536.0,6676,1890,4786,1349,245,1605,119,473,20219,197,2363,665,1806,0,5631,17495,66840,279.0,0.0022580175365718
32,ANANTNAG,415,505,21,174,0,174,1034,955,79,28,0,170,1544.0,1501,351,1150,1483,115,384,31,318,265,0,1077,443,22,0,318,7954,17890,88.0,0.0008812269635122
33,ANDAMAN,118,41,18,92,0,92,73,61,12,4,0,63,708.0,918,77,841,115,57,196,9,80,910,3,168,37,97,0,32,3638,7377,0.0,0.0002982997560435
34,ANGUL,656,773,11,547,0,547,464,416,48,191,16,700,1379.0,4466,884,3582,1588,114,503,2,238,594,164,2337,82,754,0,2244,14536,32542,183.0,0.0014486538602002
35,ANJAW,5,1,0,1,0,1,1,1,0,0,0,1,11.0,18,0,18,1,1,2,0,0,24,0,0,0,2,0,18,25,113,2.0,5.4873003653176775e-06
36,ANUPPUR,308,120,7,474,0,474,93,81,12,20,5,152,911.0,1119,319,800,155,52,164,10,68,2272,75,772,50,435,0,299,8007,15726,158.0,0.0004902633762398
37,ARARIA,756,648,96,665,0,665,1015,589,426,403,21,577,604.0,2673,410,2263,3539,468,514,10,306,1947,188,161,7,499,8,536,15549,31228,38.0,0.001371818527573
38,ARIYALUR,156,197,5,84,0,84,155,127,28,6,0,52,192.0,614,239,375,284,5,72,2,48,1839,12,264,12,61,0,675,7433,12210,42.0,0.0002375653179092
39,ARWAL,350,418,36,37,0,37,182,100,82,59,1,103,188.0,725,45,680,560,66,148,4,87,1333,172,67,0,129,0,303,3587,8582,27.0,0.000315037334909
40,ASANSOL,451,143,107,210,0,210,407,276,131,59,564,211,98.0,3886,1451,2435,967,192,502,13,26,1011,127,279,16,3030,0,1295,10846,24462,22.0,0.0010718286042518
41,ASHOK NAGAR,314,287,47,530,0,530,93,78,15,14,16,145,1007.0,1425,394,1031,326,55,120,4,112,9018,94,1232,82,379,0,646,9445,25466,75.0,0.0005797766043881
42,AURAIYA,511,430,139,134,0,134,662,478,184,53,1,223,292.0,1224,562,662,291,198,370,10,69,1575,290,225,91,410,0,1652,4547,13422,25.0,0.0005823102143654
43,AURANGABAD,1075,1108,27,249,0,249,570,448,122,327,3,419,1177.0,3349,321,3028,3427,259,868,11,203,8513,397,156,2,762,0,1159,11436,35592,95.0,0.0014059106784072
44,AURANGABAD COMMR.,450,559,10,246,0,246,351,260,91,177,70,1164,3181.0,10192,4215,5977,1959,265,1943,30,177,5391,71,717,274,1692,0,1843,9348,40405,295.0,0.0026811238390224
45,AURANGABAD RURAL,685,407,25,227,0,227,161,103,58,202,70,505,1973.0,5586,1200,4386,2898,140,631,14,458,9638,342,857,179,3204,0,3149,8525,40046,170.0,0.0016389174674843
46,AWANTIPORA,158,47,1,57,0,57,201,193,8,4,0,58,293.0,386,57,329,285,18,82,13,18,10,0,261,44,6,0,155,2903,5018,18.0,0.0002049893948074
47,AZAMGARH,1035,820,345,224,0,224,852,711,141,48,7,761,982.0,2354,947,1407,1300,442,1015,54,23,3687,360,271,227,1171,0,1375,7337,24776,86.0,0.0011772195591749
48,ADILABAD,101,79,17,42,0,42,46,21,7,1,0,7,0.0,505,136,369,38,43,223,3,37,61,16,244,83,384,0,399,2339,6036,292.0,0.0001441466546922
49,AGAR,5,31,0,28,0,28,18,3,2,0,0,5,0.0,142,63,79,20,1,7,0,12,38,2,56,8,44,0,65,833,1652,54.0,3.825029052498656e-05
50,AGRA,178,99,41,77,2,75,463,49,0,10,7,218,0.0,3512,2824,688,413,99,382,6,10,317,87,281,0,389,0,434,1432,9518,326.0,0.0008499178453991
51,AHMEDABAD CITY,82,61,6,100,0,100,367,201,56,18,2,261,0.0,2589,1693,896,87,169,214,11,4,245,11,162,3,802,0,330,7450,15286,500.0,0.0006334057762001
52,AHMEDABAD RURAL,27,48,4,18,0,18,84,21,27,9,0,17,0.0,221,86,135,40,48,17,1,9,65,0,31,0,142,0,273,2653,4266,57.0,6.987775082436841e-05
53,AHMEDNAGAR,109,74,6,103,0,103,121,51,39,44,21,274,0.0,1519,531,988,457,32,165,3,46,199,13,269,8,264,0,736,1113,6957,559.0,0.0004020136712019
54,AIZAWL,11,13,2,39,0,39,2,0,0,1,0,5,0.0,455,64,391,0,8,45,3,14,57,0,58,0,5,0,18,56,1059,251.0,9.219124076682949e-05
55,AJMER,45,59,8,130,1,129,226,21,164,5,0,46,0.0,1155,730,425,0,21,1484,2,23,17,10,181,0,844,0,529,3147,9197,293.0,0.0003907699564581
56,AKOLA,52,50,3,52,0,52,42,22,3,14,3,108,0.0,736,176,560,97,19,108,3,34,121,5,219,20,136,0,141,1724,4433,177.0,0.0001803392075802
57,ALAPUZHA,19,33,3,61,0,61,8,7,1,13,0,54,0.0,226,75,151,238,15,429,2,14,117,0,245,10,261,0,305,2858,11033,190.0,0.0001105500674675
58,ALIGARH,179,257,29,112,0,112,471,0,0,17,2,242,0.0,2297,1660,637,436,129,354,2,25,285,69,307,0,455,0,328,1916,8793,302.0,0.0006235437321823
59,ALIPURDUAR,49,40,6,118,0,118,176,0,60,4,2,2,0.0,654,142,512,10,30,85,2,4,19,2,83,6,328,0,66,1478,3355,5.0,0.0001781534766931
60,ALIRAJPUR,46,20,3,17,0,17,17,15,2,4,0,10,0.0,94,64,30,9,0,5,0,10,63,0,15,0,10,0,86,411,1161,35.0,3.514235186113738e-05
61,ALLAHABAD,132,121,40,109,16,93,330,186,61,9,0,125,0.0,2245,1673,572,129,124,511,6,1,353,53,309,4,355,0,450,3465,9909,381.0,0.0005926907951402
62,ALMORA,4,2,1,6,0,6,40,0,40,0,0,1,0.0,8,2,6,3,0,4,0,1,1,1,4,1,5,0,4,35,139,7.0,1.0620157884071776e-05
63,ALWAR,104,64,4,299,0,299,373,0,126,0,22,70,0.0,3189,2277,912,5,17,1449,3,13,26,33,256,0,720,0,593,4047,12742,238.0,0.0008346505479712
64,AMBALA (RURAL),15,13,2,25,0,25,59,24,32,2,0,4,0.0,194,83,111,0,5,38,1,1,62,9,17,0,52,0,119,215,1098,96.0,5.709483520061701e-05
65,AMBALA (URBAN),25,18,1,31,0,31,159,36,123,0,0,16,0.0,430,290,140,6,33,52,0,4,95,8,23,1,111,0,124,288,1977,321.0,0.0001265557874924
66,AMBEDKAR NAGAR,24,24,10,20,0,20,59,58,1,1,0,13,0.0,86,39,47,37,19,43,0,0,126,11,16,0,41,0,53,592,1323,22.0,4.494204019297864e-05
67,AMETHI,36,50,14,27,0,27,115,62,11,0,0,20,0.0,113,51,62,43,19,41,1,0,192,15,78,0,47,0,133,434,1522,51.0,6.180761230862908e-05
68,AMRAVATI COMMR.,27,49,2,27,0,27,36,10,5,2,0,56,0.0,815,235,580,13,19,90,2,16,69,1,132,12,108,0,82,975,3338,206.0,0.0001713304518967
69,AMRAVATI RURAL,51,63,5,103,0,103,76,32,12,6,1,42,0.0,1221,152,1069,43,11,93,1,70,269,8,415,17,213,0,237,3196,6948,236.0,0.000265005101614
70,AMRELI,26,25,2,7,0,7,72,61,4,0,0,17,0.0,93,43,50,23,23,9,2,0,61,0,21,1,139,0,123,777,1818,78.0,4.268082610703135e-05
71,AMRITSAR RURAL,47,60,2,31,0,31,98,77,21,0,4,12,0.0,124,32,92,0,9,88,4,5,191,6,78,0,53,0,124,271,1396,119.0,6.586073189664783e-05
72,AMROHA,60,63,9,35,0,35,120,107,13,5,0,44,0.0,399,192,207,44,26,140,1,0,119,23,81,0,224,0,198,991,2826,50.0,0.0001343272750911
73,ANAND,37,21,0,12,0,12,73,69,2,7,0,31,0.0,354,213,141,37,24,55,1,8,72,0,21,5,117,0,242,1553,3415,114.0,0.0001001497954234
74,ANANTAPUR,134,171,8,35,0,35,125,88,37,6,0,30,0.0,753,240,513,214,13,296,10,12,25,25,436,26,165,0,638,3800,8376,415.0,0.0002309556151964
75,ANANTNAG,9,16,0,19,0,19,64,27,0,0,0,0,0.0,90,33,57,180,4,20,1,14,2,0,123,0,9,0,29,427,1307,92.0,4.6198999546995785e-05
76,ANGUL,58,89,0,44,0,44,85,66,19,39,0,107,0.0,548,157,391,73,21,67,0,16,14,4,146,8,30,0,174,1243,2950,167.0,0.0001555807183721
77,ANJAW,0,0,0,0,0,0,1,1,0,0,0,0,0.0,2,0,2,1,1,1,0,0,2,0,1,0,0,0,2,12,29,6.0,7.285769623806965e-07
78,ANTI TERRORIST SQUAD,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
79,ANUPPUR,35,16,0,70,0,70,107,28,2,1,2,23,0.0,187,71,116,24,6,22,1,7,29,7,121,0,114,0,66,1348,2666,168.0,7.484323255446749e-05
80,ARARIA,53,176,5,35,0,35,85,68,17,16,0,28,0.0,310,36,274,306,24,108,0,11,26,17,1,0,6,0,95,2459,3898,49.0,0.0001251281704715
81,ARIYALUR,19,34,0,6,0,6,16,14,2,0,0,8,0.0,64,26,38,30,0,22,0,12,4,2,23,0,7,0,134,825,1615,21.0,2.454844900273698e-05
82,ARVALLI,28,10,3,5,0,5,37,21,8,4,0,5,0.0,85,44,41,6,11,3,1,2,19,0,19,2,69,0,126,1192,3841,67.0,2.9878219214026405e-05
83,ARWAL,25,29,2,6,0,6,26,18,7,5,0,8,0.0,78,21,57,82,9,42,0,3,25,11,4,0,0,0,25,477,991,51.0,3.49815398289002e-05
84,ASANSOL-DURGAPUR PC,52,165,13,58,0,58,134,43,57,5,30,12,0.0,642,290,352,185,101,153,2,10,2,28,160,1,496,0,212,1939,4738,10.0,0.0001958592096302
85,ASHOK NAGAR,29,30,1,76,0,76,67,0,0,1,3,15,0.0,125,36,89,26,10,11,0,13,263,12,171,1,82,0,100,1843,3366,123.0,5.6061043564806565e-05
86,AURAIYA,34,25,14,21,2,19,99,81,0,3,0,14,0.0,165,119,46,20,28,78,0,1,7,34,73,0,151,0,175,645,1789,26.0,7.07080660112257e-05
87,AURANGABAD,74,40,3,12,0,12,86,69,7,33,1,27,0.0,352,114,238,250,52,122,3,12,199,28,29,0,110,0,84,1135,3079,104.0,0.0001268150558709
88,AURANGABAD COMMR.,35,54,0,27,0,27,63,16,15,25,15,204,0.0,1419,706,713,134,15,197,2,35,71,2,227,5,164,0,183,851,4821,267.0,0.0003207937492875
89,AURANGABAD RURAL,49,63,1,31,0,31,37,13,12,18,10,41,0.0,917,191,726,264,14,87,2,30,77,7,177,3,218,0,298,1350,4237,116.0,0.0002101288160826
90,AWANTIPORA,9,6,0,6,0,6,19,19,0,0,0,3,0.0,31,5,26,15,0,6,0,0,0,0,19,0,1,0,9,181,389,15.0,1.407925751627562e-05
91,AZAMGARH,68,74,28,42,4,38,183,0,39,1,1,73,0.0,387,247,140,203,53,134,1,0,313,34,102,0,158,0,263,396,2881,143.0,0.0001481702373764
92,BADAUN,1854,2049,486,364,0,364,1146,833,313,94,7,493,686.0,2590,590,2000,334,345,735,16,173,3885,556,597,243,600,0,828,12222,30353,50.0,0.0013272735946433
93,BADDIPOLICEDIST,42,20,1,33,0,33,63,53,10,2,0,4,139.0,223,124,99,133,83,53,0,7,757,1,42,2,58,0,259,572,2524,30.0,9.772120554886316e-05
94,BAGAHA,493,519,68,240,1,239,787,387,400,47,4,136,362.0,1733,54,1679,1393,229,475,20,147,3376,94,165,0,224,0,306,7913,18759,28.0,0.0007756751965569
95,BAGALKOT,589,420,31,116,0,116,237,137,100,64,36,159,983.0,1758,706,1052,2454,99,571,25,111,3629,40,690,13,758,2,0,14130,27062,147.0,0.0008143751043965
96,BAGESHWAR,76,24,6,48,0,48,42,22,20,0,0,41,64.0,130,4,126,17,10,37,0,11,99,36,34,11,33,0,56,349,1136,12.0,6.65860269808196e-05
97,BAGHPAT,1028,1058,129,198,0,198,628,493,135,62,9,537,420.0,2305,946,1359,649,282,673,19,22,1198,200,241,188,890,0,1027,4921,16737,53.0,0.0009750492977489
98,BAHRAICH,620,524,289,335,0,335,916,840,76,79,80,253,797.0,2034,640,1394,623,432,1171,35,132,2144,374,328,459,448,0,1067,8073,21274,61.0,0.0009866999653906
99,BAKSA,80,10,1,53,0,53,115,96,19,8,0,25,22.0,229,90,139,3,13,37,0,8,116,4,13,0,47,0,64,544,1432,40.0,9.7179695644391e-05
100,BALAGHAT,725,321,48,906,0,906,103,83,20,18,15,183,1687.0,2043,452,1591,493,100,199,8,170,5009,82,1688,170,709,0,1061,19249,35081,94.0,0.0009186535026068
101,BALASORE,515,506,19,755,0,755,900,797,103,165,52,590,2127.0,3722,880,2842,693,268,853,30,294,10460,498,1851,289,2062,0,17,12914,39851,271.0,0.0014545645228545
102,BALLIA,471,620,241,117,0,117,493,422,71,35,9,163,773.0,1812,760,1052,848,212,566,27,42,2104,240,265,155,343,0,961,4274,14880,109.0,0.0007417208846074
103,BALOD,28,15,5,42,0,42,37,26,11,3,0,7,70.0,136,40,96,34,3,49,1,8,76,7,117,3,20,0,189,1435,2332,47.0,5.8105653688965005e-05
104,BALODA BAZAR,45,33,3,100,0,100,162,147,15,4,0,39,182.0,332,129,203,68,13,41,2,32,1564,4,208,32,68,0,265,1260,4655,198.0,0.0001506710285716
105,BALRAMPUR,686,403,118,702,0,702,406,335,71,160,11,212,749.0,1022,218,804,453,163,505,19,94,2051,118,682,194,397,1,810,5118,15138,64.0,0.0007070445594519
106,BANDA,651,388,221,299,0,299,493,370,123,17,3,173,669.0,1469,392,1077,518,331,644,9,138,1197,314,651,107,520,0,638,7315,16849,84.0,0.0007113602292966
107,BANDIPORA,36,40,7,24,0,24,300,287,13,0,0,14,169.0,313,20,293,496,10,42,2,38,5,0,395,46,8,0,0,1284,3259,30.0,0.0001824428915121
108,BANGALORE COMMR.,3048,4509,80,722,1,721,3656,1485,2171,569,2644,7359,19968.0,116077,57472,58605,5027,2344,29388,805,64,41105,604,3008,480,4314,0,1342,132148,380665,1404.0,0.0273217969013083
109,BANGALORE RURAL,1648,970,36,323,0,323,523,260,263,294,13,868,4268.0,9651,3261,6390,4835,296,1537,16,270,11366,306,1171,2,1261,0,24,43135,83124,311.0,0.003063968059606
110,BANKA,958,401,75,480,0,480,601,423,178,328,17,323,778.0,1540,158,1382,2446,232,267,9,181,2676,263,53,3,322,0,467,8934,21412,58.0,0.0009676125617275
111,BANKURA,722,410,102,493,0,493,395,358,37,151,193,306,118.0,2994,315,2679,1639,175,417,24,119,2370,281,660,9,2136,0,1793,6826,22342,9.0,0.0010394069294259
112,BANSWARA,439,234,12,703,0,703,809,752,57,17,24,165,880.0,1478,495,983,1740,78,1064,9,362,12595,88,974,20,1682,0,1402,10109,34957,73.0,0.0009577931821264
113,BARABANKI,810,731,222,356,0,356,979,909,70,66,8,325,993.0,2645,656,1989,369,886,736,13,73,3313,372,433,313,1240,0,2070,10879,27889,57.0,0.0011336230890476
114,BARAGARH,416,782,33,334,0,334,211,186,25,103,15,448,898.0,2105,515,1590,1221,88,346,16,218,696,105,1081,120,1017,0,1483,7375,19191,80.0,0.0008084545961076
115,BARAMULLA,702,885,25,214,0,214,1122,1012,110,13,0,105,1514.0,1905,257,1648,1741,85,226,41,288,151,1,1538,302,33,0,22,8152,19140,75.0,0.0010297188249531
116,BARAN,427,1007,27,707,0,707,912,893,19,8,18,146,1368.0,3963,1116,2847,391,217,2322,10,235,4630,77,2072,33,2899,0,1232,19973,42718,44.0,0.001464232936058
117,BAREILLY,2184,2429,425,757,0,757,2083,1749,334,194,7,911,1662.0,7796,3111,4685,1453,1236,2960,85,67,4868,653,1273,667,2827,3,2978,22784,60443,141.0,0.0030123736522835
118,BARMER,287,334,17,299,0,299,356,302,54,2,0,81,1197.0,3044,1218,1826,212,113,2602,19,276,7528,190,1104,0,1664,0,1905,16393,37773,150.0,0.0010377364534175
119,BARNALA,197,289,44,158,0,158,139,97,42,2,23,27,453.0,851,295,556,2,109,752,13,18,1156,30,109,0,222,0,856,2637,8147,60.0,0.0003525065384203
120,BARPETA,613,174,10,1058,0,1058,1715,1578,137,284,16,330,1665.0,2788,336,2452,2855,633,668,44,209,2230,133,808,4,3440,0,1852,14913,36777,335.0,0.0016355174416598
121,BARWANI,518,313,26,518,0,518,107,97,10,15,21,157,1044.0,2455,712,1743,385,42,116,5,102,4009,47,1046,110,220,0,1583,14374,27299,86.0,0.0008015002961829
122,BASKA,273,78,1,123,0,123,256,197,59,17,2,50,132.0,290,25,265,38,33,64,2,46,513,18,83,0,114,0,137,999,3269,0.0,0.0002000797050069
123,BASTI,400,317,163,144,0,144,383,365,18,20,11,172,467.0,1354,499,855,446,284,622,30,48,1736,196,176,316,401,0,1084,5256,14062,36.0,0.0005741547470162
124,BATALA,312,356,47,249,0,249,220,176,44,16,26,29,628.0,1192,406,786,0,96,1225,13,29,2059,58,137,0,431,0,757,3037,10969,52.0,0.000516751415264
125,BDN CP,32,43,8,30,0,30,113,43,70,4,133,31,10.0,1594,430,1164,42,64,428,16,5,270,15,135,14,549,0,50,2343,5937,8.0,0.0003576787784775
126,BEED,911,726,44,414,0,414,490,311,179,410,69,1019,3577.0,7737,1918,5819,4984,401,1123,16,612,12467,117,1225,141,3924,0,3226,9878,53854,343.0,0.002546934402816
127,BEGUSARAI,1516,1878,45,252,0,252,1284,607,677,191,8,831,833.0,4300,700,3600,3255,572,874,12,189,5523,415,194,2,633,2,2199,18232,43344,104.0,0.0018029129215841
128,BELGAUM,1515,1125,22,341,0,341,553,355,198,146,31,721,2948.0,5602,2595,3007,5303,262,2726,63,284,11894,114,1822,53,2542,0,418,41496,80291,310.0,0.002363976256425
129,BELLARY,703,578,7,186,0,186,291,196,95,59,21,356,1811.0,3870,1685,2185,2886,152,934,32,134,6634,104,828,2,861,1,161,24334,45122,177.0,0.0013854973959477
130,BEMETARA,30,23,0,52,0,52,57,45,12,0,0,14,57.0,217,69,148,34,4,28,2,17,49,8,118,7,48,0,187,1776,2808,80.0,7.752452705115683e-05
131,BERHAMPUR,265,821,16,186,0,186,242,179,63,101,105,675,1036.0,2325,1032,1293,502,168,591,3,126,2193,71,1319,98,483,0,902,5071,17414,115.0,0.0008114443871559
132,BETTIAH,982,1021,85,516,0,516,1408,751,657,167,21,388,993.0,4459,668,3791,4697,817,1117,56,238,14439,350,212,33,862,8,1004,13658,47669,138.0,0.001913092136814
133,BETUL,798,475,18,1643,1,1642,336,294,42,11,5,229,1856.0,2702,717,1985,153,15,288,5,190,5082,192,2087,165,830,0,1527,21827,40563,129.0,0.0012636248486594
134,BHABHUA,685,512,58,159,1,158,547,284,263,198,10,304,777.0,2435,401,2034,1953,280,404,6,269,3334,279,74,0,295,2,748,7754,21148,65.0,0.0009607632819055
135,BHADRAK,399,449,18,528,0,528,513,476,37,64,4,238,784.0,1439,314,1125,487,127,567,10,219,343,245,1002,167,1258,0,871,15038,24864,94.0,0.000721419186007
136,BHAGALPUR,1292,1044,105,516,0,516,1269,876,393,167,34,591,1610.0,5712,1435,4277,2964,522,992,29,245,4213,239,237,12,964,0,1204,17931,42026,134.0,0.0020975008733734
137,BHANDARA,371,159,34,378,0,378,166,134,32,32,8,225,2315.0,6059,738,5321,828,170,488,46,443,4674,36,703,361,838,0,1764,10377,30607,132.0,0.0015192733154998
138,BHARATPUR,1077,1087,29,915,0,915,1939,1414,525,63,91,414,1002.0,13956,6713,7243,507,319,6682,26,431,8159,365,774,1,4677,0,2798,55834,101237,91.0,0.0039382735419757
139,BHARUCH,488,164,4,141,0,141,346,300,46,148,0,227,1570.0,4602,1825,2777,581,901,257,79,268,3932,0,244,24,708,0,3367,18899,37120,170.0,0.0012656891500528
140,BHATINDA,577,652,152,354,0,354,446,324,122,11,46,62,1983.0,3203,1695,1508,1,233,2182,22,74,3089,55,321,22,598,0,376,6903,21587,225.0,0.0011977739623974
141,BHAVNAGAR,680,402,13,167,0,167,1094,967,127,165,8,826,3240.0,9031,3306,5725,1821,928,1092,217,378,3175,24,701,445,2451,0,46,43063,70124,157.0,0.0025849582437446
142,BHILWARA,428,572,46,655,0,655,1634,1368,266,14,10,547,3119.0,9517,4378,5139,1200,222,5470,20,256,2028,116,1311,17,5422,0,3426,33897,70124,197.0,0.0030410211671692
143,BHIM NAGAR,149,186,37,57,0,57,207,196,11,26,4,91,156.0,475,188,287,135,68,79,1,2,152,56,73,0,125,0,179,1393,3651,0.0,0.0002117205270139
144,BHIND,896,1261,50,445,0,445,346,223,123,57,87,844,1991.0,3259,1154,2105,1030,107,382,8,193,11981,431,987,49,680,0,1747,20235,47222,156.0,0.0012773430995727
145,BHIWANI,709,405,45,361,0,361,645,452,193,82,58,346,2495.0,5749,3464,2285,1814,282,1163,12,223,3391,289,437,166,1232,0,253,13288,33856,411.0,0.0018601094950092
146,BHOJPUR,1517,1446,32,224,0,224,775,499,276,312,24,584,1183.0,4261,825,3436,2442,495,1057,5,395,10045,515,211,7,1302,1,1618,16795,45394,148.0,0.0016536038724692
