,DISTRICT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Criminal Trespass/Burglary,Crime Index
457,FIROZABAD,1512,1581,282,305,0,305,1594,1080,514,147,10,814,755.0,5028,2856,2172,1313,667,1270,10,81,3719,602,592,480,1288,0,1307,11721,35166,88.0,0.0019541484332077
458,FAIZABAD,32,31,10,37,0,37,120,117,1,0,1,25,0.0,295,156,139,28,48,138,0,0,208,13,91,0,8,0,190,850,2426,79.0,0.0001093390544084
459,FARIDABAD,64,41,3,101,0,101,384,190,191,7,4,40,0.0,2079,1736,343,207,200,50,4,7,111,20,94,16,302,0,13,1709,6000,412.0,0.0005375289862047
460,FARIDKOT,23,34,0,24,0,24,23,10,12,2,1,10,0.0,70,27,43,0,2,42,1,3,78,1,16,0,16,0,66,160,673,63.0,3.085621892028518e-05
461,FATEHABAD,20,15,0,27,0,27,39,5,32,4,1,16,0.0,300,211,89,92,10,64,2,9,18,7,56,2,154,0,104,1071,2431,218.0,8.563404810540322e-05
462,FATEHGARH,58,70,18,19,0,19,148,126,18,4,0,21,0.0,230,146,84,34,20,43,0,0,7,39,38,0,121,0,132,900,2151,47.0,9.735035331125496e-05
463,FATEHGARH SAHIB,16,10,4,26,0,26,28,15,13,0,2,3,0.0,89,50,39,0,8,120,0,0,16,4,22,0,28,0,122,274,920,47.0,3.921844459661857e-05
464,FATEHPUR,55,36,26,58,28,30,131,30,9,3,1,21,0.0,217,135,82,42,70,93,0,5,273,43,101,0,93,0,288,563,2559,74.0,9.586038060440436e-05
465,FAZILKA,24,14,3,52,0,52,32,26,1,0,2,0,0.0,80,35,45,0,2,88,2,1,140,4,18,0,59,0,78,170,877,61.0,4.302214144075924e-05
466,FEROZEPUR,27,38,4,55,0,55,23,12,11,0,3,0,0.0,163,54,109,0,11,128,0,0,216,3,31,0,45,0,91,305,1300,91.0,6.040296843521045e-05
